name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,target
Every Breath You Take - Remastered 2003,The Police,0.813,0.46,1,-9.78,1,0.0346,0.56,0.0105,0.0724,0.729,117.387,253887,4,1
(Don't Fear) The Reaper,Blue Öyster Cult,0.333,0.927,9,-8.55,0,0.0733,0.0029,0.000208,0.297,0.385,141.466,308120,4,1
A Horse with No Name,America,0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,252240,4,1
"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John,0.601,0.532,10,-9.119,1,0.0286,0.432,6.25E-06,0.0925,0.341,136.571,281613,4,1
I Want You to Want Me,Cheap Trick,0.806,0.462,2,-12.778,1,0.0298,0.78,0.0134,0.15,0.736,92.726,191227,4,1
Kashmir - Remaster,Led Zeppelin,0.483,0.615,2,-8.538,1,0.0497,0.452,0.000414,0.0512,0.594,80.576,517125,3,1
Dream On,Aerosmith,0.307,0.433,1,-10.057,1,0.029,0.388,9.08E-05,0.332,0.224,160.9,266960,4,1
Highway to Hell,AC/DC,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4,1
Edge of Seventeen - 2016 Remaster,Stevie Nicks,0.591,0.804,0,-7.299,1,0.0454,0.327,5.98E-06,0.0818,0.658,111.457,329413,4,1
I Hate Myself for Loving You,Joan Jett & The Blackhearts,0.611,0.883,9,-11.225,1,0.0539,0.0846,1.20E-06,0.192,0.604,117.928,246800,4,1
Bohemian Rhapsody - Remastered 2011,Queen,0.414,0.404,0,-9.928,0,0.0499,0.271,0,0.3,0.224,71.105,354320,4,1
White Room,Cream,0.55,0.576,0,-13.475,1,0.0306,0.178,0.00935,0.0555,0.486,109.837,303200,4,1
Layla - 40th Anniversary Version / 2010 Remastered,Derek & The Dominos,0.404,0.903,1,-3.88,1,0.0668,0.577,0.297,0.287,0.498,115.672,423840,4,1
American Pie,Don McLean,0.531,0.481,4,-11.709,0,0.06,0.699,0,0.0842,0.491,138.45,516893,4,1
Hurricane,Bob Dylan,0.509,0.827,0,-7.715,1,0.079,0.0409,0,0.12,0.743,135.601,512733,4,1
Paranoid,Black Sabbath,0.426,0.619,4,-11.501,0,0.0722,8.44E-05,0.00239,0.17,0.382,162.721,168440,4,1
Smoke on the Water,Deep Purple,0.632,0.586,0,-11.333,1,0.0284,0.0983,0.581,0.0535,0.89,114.243,342173,4,1
Bang a Gong (Get It On) - 2003 Remaster,T. Rex,0.729,0.818,2,-9.992,1,0.0732,0.157,0.284,0.195,0.906,125.814,267000,4,1
My Sharona,The Knack,0.586,0.7,0,-9.558,1,0.0363,0.0589,0.00125,0.0318,0.897,147.245,295400,4,1
Turn! Turn! Turn! (To Everything There Is a Season),The Byrds,0.452,0.818,2,-8.124,1,0.0439,0.135,2.72E-05,0.052,0.755,124.474,229360,4,1
Casey Jones - 2013 Remaster,Grateful Dead,0.671,0.405,0,-10.052,1,0.0392,0.385,0,0.132,0.828,99.678,265067,4,1
Immigrant Song - Remaster,Led Zeppelin,0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,146250,4,1
Dirty Deeds Done Dirt Cheap,AC/DC,0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,231933,4,1
Jump - 2015 Remaster,Van Halen,0.572,0.835,0,-6.219,1,0.0317,0.171,0.000377,0.0702,0.795,129.981,241600,4,1
Kickstart My Heart,Mötley Crüe,0.359,0.981,7,-3.622,0,0.303,0.00125,0.00236,0.284,0.271,178.98,282653,4,1
Don't Stop Believin',Journey,0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,250987,4,1
Born in the U.S.A.,Bruce Springsteen,0.398,0.952,4,-6.042,1,0.061,0.000373,7.75E-05,0.1,0.584,122.093,278680,4,1
Personal Jesus - Original Single Version,Depeche Mode,0.637,0.682,11,-11.625,1,0.0366,0.0112,0.0234,0.0473,0.714,129.983,224907,4,1
London Calling - Remastered,The Clash,0.651,0.801,0,-7.34,1,0.0513,0.123,0,0.0825,0.776,133.763,200480,4,1
Carry on Wayward Son,Kansas,0.482,0.786,7,-5.735,1,0.032,0.00321,8.88E-05,0.446,0.793,126.755,323000,4,1
Have You Ever Seen The Rain,Creedence Clearwater Revival,0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28E-05,0.133,0.774,116.109,160133,4,1
Back In The U.S.S.R. - 2018 Mix,The Beatles,0.51,0.893,9,-9.267,1,0.0342,0.00102,5.85E-05,0.201,0.934,142.657,163467,4,1
You Really Got Me,The Kinks,0.567,0.959,8,-3.822,1,0.102,0.0995,6.07E-05,0.1,0.961,137.377,133933,4,1
Back on the Chain Gang - 2007 Remaster,Pretenders,0.598,0.901,2,-6.081,1,0.0359,0.116,0.0401,0.178,0.814,153.24,231120,4,1
Give A Little Bit,Supertramp,0.531,0.818,2,-5.358,1,0.0452,0.0694,0.0096,0.263,0.471,90.767,248173,4,1
Riders on the Storm,The Doors,0.55,0.722,11,-11.729,0,0.0283,0.25,0.0129,0.11,0.716,103.886,434720,4,1
Sweet Child O' Mine,Guns N' Roses,0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,354520,4,1
Free Fallin',Tom Petty,0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,256000,4,1
Crazy Train,Ozzy Osbourne,0.453,0.905,9,-4.001,1,0.115,0.36,0.000569,0.26,0.474,137.571,296200,4,1
(I Can't Get No) Satisfaction - Mono Version,The Rolling Stones,0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,222813,4,1
Barracuda,Heart,0.547,0.691,4,-13.553,0,0.0369,0.015,0.105,0.144,0.667,137.148,261933,4,1
Dust in the Wind,Kansas,0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,206267,4,1
Walk This Way,Aerosmith,0.629,0.785,5,-10.761,1,0.0471,0.0249,9.45E-06,0.0522,0.869,108.531,211027,4,1
Feel like Makin' Love - 2015 Remaster,Bad Company,0.543,0.529,7,-9.717,1,0.0301,0.326,0.00269,0.709,0.746,85.126,313840,4,1
Stranglehold,Ted Nugent,0.484,0.711,2,-7.784,1,0.0331,0.0183,0.173,0.0941,0.49,148.189,503067,4,1
T.N.T.,AC/DC,0.754,0.759,9,-5.218,1,0.302,0.153,0.000108,0.101,0.435,126.366,214667,4,1
Livin' On A Prayer,Bon Jovi,0.534,0.887,0,-3.777,1,0.0345,0.0768,9.93E-05,0.325,0.72,122.494,249293,4,1
Long Cool Woman (In a Black Dress) - 1999 Remaster,The Hollies,0.757,0.868,9,-9.326,1,0.062,0.411,0.00221,0.355,0.815,138.923,199200,4,1
Life in the Fast Lane - 2013 Remaster,Eagles,0.667,0.755,9,-7.246,1,0.069,0.0966,6.94E-05,0.0523,0.883,109.535,286220,4,1
Gimme Shelter,The Rolling Stones,0.63,0.616,1,-8.128,0,0.0309,0.463,0.0408,0.173,0.509,118.65,270773,4,1
All Right Now,Free,0.766,0.446,2,-13.079,1,0.0867,0.25,0.000704,0.318,0.743,119.774,332907,4,1
Free Bird,Lynyrd Skynyrd,0.279,0.852,7,-7.838,1,0.0511,0.0119,0.076,0.0624,0.438,117.418,558933,4,1
You Shook Me All Night Long,AC/DC,0.532,0.767,7,-5.509,1,0.0574,0.00287,0.000513,0.39,0.755,127.361,210173,4,1
Money - 2011 Remastered Version,Pink Floyd,0.469,0.537,9,-10.421,1,0.152,0.0241,0.00201,0.269,0.783,124.193,382834,1,1
Welcome To The Jungle,Guns N' Roses,0.456,0.978,10,-4.869,0,0.112,0.0301,0.499,0.313,0.327,123.411,271867,4,1
Let's Dance - 1999 Remaster,David Bowie,0.619,0.703,10,-9.414,0,0.0525,0.00388,0.205,0.163,0.709,115.043,457133,4,1
We Will Rock You - Remastered,Queen,0.693,0.497,2,-7.316,1,0.119,0.679,0,0.258,0.473,81.308,122067,4,1
Pinball Wizard,The Who,0.543,0.715,2,-8.89,1,0.0356,0.0192,0,0.256,0.468,124.011,180943,4,1
Beast Of Burden - Remastered,The Rolling Stones,0.786,0.87,1,-3.875,0,0.0316,0.413,0.000494,0.0389,0.864,100.66,265173,4,1
Once in a Lifetime - 2005 Remaster,Talking Heads,0.644,0.919,2,-6.289,1,0.0561,0.181,0.134,0.622,0.871,117.459,259907,4,1
Peace of Mind,Boston,0.421,0.677,4,-6.183,1,0.0343,0.000989,9.65E-05,0.211,0.683,127.67,303587,4,1
Iron Man - 2012 - Remaster,Black Sabbath,0.336,0.792,9,-10.875,1,0.084,0.00351,0.00175,0.0437,0.427,155.587,355304,4,1
Listen to the Music,The Doobie Brothers,0.645,0.598,1,-13.18,0,0.0335,0.221,3.53E-06,0.0721,0.913,105.929,227267,4,1
Wild Horses - 2009 Mix,The Rolling Stones,0.432,0.389,7,-6.517,1,0.0255,0.687,0.0107,0.0788,0.158,139.506,341773,4,1
Mary Jane's Last Dance,Tom Petty and the Heartbreakers,0.402,0.814,10,-4.954,1,0.14,0.0383,1.19E-06,0.266,0.516,170.02,272267,4,1
Enter Sandman,Metallica,0.579,0.824,6,-8.71,0,0.03,0.00206,0.00903,0.059,0.635,123.331,331573,4,1
Old Time Rock & Roll,Bob Seger,0.713,0.931,6,-2.965,1,0.0394,0.219,0,0.0694,0.963,124.127,194147,4,1
Brown Sugar,The Rolling Stones,0.638,0.931,0,-3.605,1,0.0363,0.228,0.000295,0.0524,0.965,128.662,228667,4,1
Down On The Corner,Creedence Clearwater Revival,0.831,0.544,0,-9.288,1,0.0837,0.594,0.00389,0.0736,0.856,108.177,166280,4,1
Hey Joe,Jimi Hendrix,0.346,0.768,9,-5.695,1,0.0377,0.00603,0.38,0.0244,0.532,169.492,210160,4,1
Can't You See,The Marshall Tucker Band,0.407,0.706,7,-5.526,1,0.0348,0.254,0.00693,0.125,0.54,164.022,361227,4,1
Go Your Own Way,Fleetwood Mac,0.597,0.812,5,-12.062,1,0.0315,0.0219,0.00106,0.102,0.823,135.68,218400,4,1
Gimme Three Steps,Lynyrd Skynyrd,0.644,0.823,9,-8.092,1,0.0578,0.296,0.00115,0.126,0.917,133.39,270293,4,1
Radar Love,Golden Earring,0.504,0.719,1,-9.155,0,0.0431,0.00878,0.00149,0.075,0.177,102.144,386707,4,1
Won't Get Fooled Again - Original Album Version,The Who,0.686,0.92,2,-6.231,1,0.0566,0.301,0.27,0.0807,0.225,135.027,511400,4,1
China Grove,The Doobie Brothers,0.623,0.91,9,-8.448,1,0.0384,0.319,0.000448,0.081,0.745,145.624,195307,4,1
D'yer Mak'er - Remaster,Led Zeppelin,0.525,0.929,9,-8.56,0,0.0784,0.262,2.90E-05,0.0754,0.556,163.503,262748,4,1
Don't Stop - 2004 Remaster,Fleetwood Mac,0.672,0.72,9,-7.781,1,0.035,0.0373,9.38E-06,0.0371,0.828,118.731,193347,4,1
I Want To Hold Your Hand - Remastered 2015,The Beatles,0.49,0.715,7,-5.549,1,0.0476,0.386,0,0.311,0.866,130.726,145747,4,1
Purple Haze,Jimi Hendrix,0.533,0.905,2,-5.27,1,0.0754,0.00876,0.578,0.0698,0.486,108.9,170813,4,1
Ramblin' Man,Allman Brothers Band,0.311,0.832,1,-8.29,1,0.0357,0.486,0.00128,0.235,0.933,178.873,288160,4,1
White Wedding - Pt. 1,Billy Idol,0.673,0.814,9,-5.411,1,0.0367,0.0133,0.00293,0.343,0.728,147.193,252200,4,1
November Rain,Guns N' Roses,0.294,0.641,11,-9.316,1,0.0291,0.0163,0.22,0.112,0.226,79.759,536067,4,1
Mississippi Queen,Mountain,0.581,0.624,9,-8.346,1,0.0777,0.0987,0,0.0411,0.637,139.714,151293,4,1
Life's Been Good,Joe Walsh,0.505,0.476,2,-12.897,1,0.0711,0.25,0.00915,0.113,0.542,99.31,536227,4,1
Behind Blue Eyes - Original Album Version,The Who,0.399,0.518,7,-10.637,1,0.0318,0.229,0.00122,0.262,0.285,127.084,223333,4,1
Who Are You,The Who,0.651,0.661,9,-11.405,1,0.0511,0.265,0.00313,0.106,0.489,156.371,378707,4,1
Revolution - Remastered 2009,The Beatles,0.407,0.834,6,-9.224,1,0.208,0.0734,0.00021,0.241,0.71,121.38,205293,4,1
Good Times Bad Times - 1993 Remaster,Led Zeppelin,0.476,0.717,9,-9.192,1,0.0949,0.0382,7.61E-05,0.0818,0.753,93.584,166267,4,1
Runnin' With The Devil,Van Halen,0.432,0.88,1,-5.769,0,0.0656,0.0206,0.000191,0.185,0.527,95.59,216733,4,1
Magic Carpet Ride,Steppenwolf,0.616,0.777,4,-12.179,0,0.0549,0.0215,0.075,0.0512,0.786,111.732,260240,4,1
Love Her Madly,The Doors,0.565,0.587,4,-7.393,0,0.0317,0.0573,0.00493,0.0416,0.966,147.462,198467,4,1
Black Dog - Remaster,Led Zeppelin,0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394,295387,4,1
The Boys Of Summer,Don Henley,0.516,0.549,6,-13.741,1,0.0373,0.501,0.00572,0.184,0.907,176.941,288733,4,1
Bad Moon Rising,Creedence Clearwater Revival,0.647,0.762,2,-5.856,1,0.0287,0.0599,3.35E-06,0.0705,0.93,89.837,141600,4,1
Piece Of My Heart,Janis Joplin,0.482,0.883,4,-3.348,1,0.0754,0.0891,0.00422,0.266,0.594,80.687,253805,4,1
All Day and All of the Night,The Kinks,0.563,0.915,7,-5.062,1,0.08,0.247,8.46E-05,0.0613,0.71,136.345,142227,4,1
Dude (Looks Like A Lady),Aerosmith,0.54,0.982,4,-2.962,0,0.0458,0.435,3.37E-05,0.0457,0.91,126.294,265773,4,1
Here I Go Again 87 - 2017 Remastered Version,Whitesnake,0.384,0.846,7,-5.591,1,0.0365,0.151,7.73E-05,0.0913,0.272,90.172,275693,4,1
Sunday Bloody Sunday - Remastered 2008,U2,0.543,0.944,6,-7.495,1,0.0543,0.402,0.000564,0.0373,0.735,101.174,279440,4,1
Midnight Rider,Allman Brothers Band,0.392,0.334,7,-18.294,1,0.0319,0.515,0.0946,0.0892,0.621,189.394,179933,4,1
Everywhere,Fleetwood Mac,0.69,0.54,4,-10.516,1,0.0317,0.218,0.00657,0.115,0.764,114.846,222733,4,1
Ramble On - 1990 Remaster,Led Zeppelin,0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,263333,4,1
Somebody To Love - Remastered 2011,Queen,0.461,0.69,8,-6.958,1,0.0611,0.169,1.01E-06,0.113,0.353,110.915,296480,3,1
Long Train Runnin',The Doobie Brothers,0.575,0.912,7,-7.275,0,0.0393,0.0916,0.00211,0.0562,0.843,117.399,207267,4,1
Crazy On You,Heart,0.427,0.459,9,-12.442,0,0.0332,0.116,0.000103,0.132,0.383,129.878,293440,4,1
Foreplay / Long Time,Boston,0.436,0.657,5,-8.868,1,0.0541,0.00975,0.00748,0.0931,0.21,118.693,467640,4,1
My Generation - Mono Version,The Who,0.299,0.787,0,-7.93,0,0.069,0.14,0,0.292,0.716,94.798,198867,4,1
Break on Through (To the Other Side),The Doors,0.421,0.751,9,-9.584,1,0.0472,0.2,0,0.17,0.789,89.839,145867,4,1
"The Well-Tempered Clavier: Book 1, BWV 846-869: 1. Prelude in C Major, BWV 846",Johann Sebastian Bach,0.221,0.126,0,-25.427,1,0.0447,0.989,0.897,0.102,0.216,133.63,139307,4,1
The Lark Ascending,Ralph Vaughan Williams,0.0811,0.0122,4,-32.654,0,0.0511,0.902,0.308,0.0648,0.0384,74.554,935360,4,1
"Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande",George Frideric Handel,0.0939,0.0336,2,-24.041,0,0.0606,0.927,0.83,0.0954,0.0516,67.359,207267,3,1
"Bagatelle No. 25 in A Minor, ""Für Elise"", WoO 59",Ludwig van Beethoven,0.23,0.0487,5,-27.675,1,0.0412,0.986,0.945,0.0679,0.101,134.839,203656,5,1
"Rhapsody On A Theme Of Paganini, Op.43: Variation 18. Andante cantabile",Sergei Rachmaninoff,0.205,0.0525,1,-23.841,1,0.0327,0.98,0.906,0.103,0.0511,88.316,174653,4,1
"Cello Concerto in E Minor, Op.85 (1988 Digital Remaster): I. Adagio - Moderato",Edward Elgar,0.148,0.0722,4,-25.217,0,0.0427,0.944,0.148,0.115,0.0467,87.882,478573,4,1
Rhapsody In Blue,George Gershwin,0.309,0.258,9,-15.327,1,0.0459,0.976,0.69,0.0924,0.115,74.568,890000,4,1
"Cello Suite No. 1 in G Major, BWV 1007: I. Prélude",Johann Sebastian Bach,0.275,0.157,7,-18.752,1,0.0636,0.89,0.842,0.186,0.304,73.289,152280,4,1
Meditation: Méditation from Thaïs,Jules Massenet,0.205,0.0686,4,-23.415,0,0.0462,0.873,0.402,0.0909,0.0359,90.779,337253,1,1
Gnossienne No. 1,Erik Satie,0.376,0.00579,5,-31.615,0,0.0576,0.996,0.944,0.0882,0.0369,71.827,296480,4,1
"Piano Concerto in A Minor, Op.16: I. Allegro molto moderato",Edvard Grieg,0.303,0.119,9,-18.055,0,0.0386,0.975,0.88,0.112,0.038,94.868,820853,4,1
"Suite bergamasque, L. 75: 3. Clair de lune",Claude Debussy,0.335,0.00501,1,-33.366,1,0.0451,0.993,0.919,0.0618,0.0383,132.085,294960,3,1
"Danse Macabre, Op.40, R.171",Camille Saint-Saëns,0.371,0.131,2,-23.899,1,0.0413,0.898,0.925,0.0847,0.0655,105.328,442693,4,1
"Symphony No. 40 in G Minor, K. 550: I. Molto allegro",Wolfgang Amadeus Mozart,0.326,0.33,7,-12.967,0,0.0406,0.871,0.749,0.128,0.293,118.668,435160,4,1
Mahler: Symphony No. 5 in C-Sharp Minor: IV. Adagietto,Gustav Mahler,0.0783,0.0523,5,-23.247,1,0.0471,0.896,0.945,0.0806,0.0327,82.015,583293,4,1
"Chopin: Nocturne No. 20 in C-Sharp Minor, Op. Posth.",Frédéric Chopin,0.225,0.0047,1,-30.928,0,0.0509,0.992,0.881,0.0722,0.186,163.665,259493,4,1
Parce Mihi Domine,Jan Garbarek,0.193,0.0656,10,-19.239,1,0.0471,0.995,0.829,0.119,0.0359,128.975,402493,3,1
"Piano Concerto No.3 in C, Op.26: 1. Andante - Allegro",Sergei Prokofiev,0.353,0.254,0,-16.205,1,0.0349,0.948,0.859,0.0843,0.0986,133.808,564640,4,1
"An der schönen blauen Donau, Op.314",Johann Strauss II,0.233,0.0252,2,-24.824,1,0.0346,0.975,0.604,0.143,0.0936,94.736,707173,4,1
"Pachelbel: Canon and Gigue in D Major for 3 Violins and Continuo, P. 37: I. Canon (Orchestral Version)",Johann Pachelbel,0.13,0.158,2,-16.132,1,0.035,0.748,0.924,0.1,0.0998,85.031,302093,4,1
"Piano Concerto No. 2 in C Minor, Op. 18: 2. Adagio sostenuto",Sergei Rachmaninoff,0.194,0.0545,4,-24.877,1,0.0366,0.983,0.945,0.0551,0.0385,140.966,644273,4,1
"Mozart: Clarinet Concerto in A Major, K. 622: II. Adagio",Wolfgang Amadeus Mozart,0.0999,0.0241,2,-25.651,1,0.0432,0.98,0.766,0.0623,0.0396,89.001,532040,3,1
"Symphony No. 5 in C Minor, Op. 67: I. Allegro con brio",Ludwig van Beethoven,0.248,0.298,0,-15.661,0,0.0395,0.957,0.9,0.0943,0.157,97.853,442000,4,1
Rodrigo: Concierto de Aranjuez: II. Adagio,Joaquín Rodrigo,0.253,0.098,11,-19.878,0,0.0437,0.93,0.862,0.122,0.062,84.865,640267,4,1
Hummel: Trumpet Concerto In E Flat - Iii Rondo,Johann Nepomuk Hummel,0.496,0.249,3,-18.131,1,0.0411,0.98,0.934,0.12,0.719,144.239,224640,4,1
"Ravel: Pavane pour une infante défunte, M. 19",Maurice Ravel,0.491,0.0176,4,-26.911,0,0.0644,0.994,0.927,0.0985,0.0901,125.793,346587,3,1
"The Carnival of the Animals, R. 125: XIII. The Swan (Arr. for Cello and Piano)",Camille Saint-Saëns,0.169,0.0161,9,-31.034,0,0.0442,0.986,0.86,0.0805,0.0573,128.143,174267,3,1
"Turandot / Act 3: ""Nessun dorma!""",Giacomo Puccini,0.212,0.301,2,-12.505,1,0.0384,0.963,0.0033,0.13,0.0798,84.025,177333,4,1
The Sorcerer's Apprentice,Paul Dukas,0.351,0.206,1,-22.657,1,0.0597,0.797,0.255,0.0738,0.0839,130.415,577440,4,1
Fanfare for the Common Man,Aaron Copland,0.223,0.165,10,-16.394,1,0.0504,0.984,0.95,0.348,0.0518,73.463,167160,5,1
"Piano Concerto in A Minor, Op. 16: I. Allegro molto moderato",Edvard Grieg,0.312,0.0465,9,-26.438,0,0.0378,0.981,0.9,0.0872,0.0371,130.303,766213,3,1
"Suite No.3 In D, BWV 1068: 2. Air",Johann Sebastian Bach,0.0753,0.07,2,-27.272,1,0.044,0.918,0.947,0.146,0.0625,79.801,365147,4,1
"Symphony No.8 in B minor, D.759 - ""Unfinished"": 1. Allegro moderato",Franz Schubert,0.1,0.0354,11,-17.211,0,0.0387,0.901,0.865,0.125,0.0426,73.968,906000,4,1
"Piano Concerto No. 1 in B-Flat Minor, Op. 23: I. Allegro non troppo e molto maestoso – Allegro con spirito",Pyotr Ilyich Tchaikovsky,0.212,0.119,1,-20.511,1,0.0366,0.976,0.907,0.087,0.0396,84.346,1252322,3,1
"Piano Sonata No. 14 in C-Sharp Minor, Op. 27 No. 2 ""Moonlight"": I. Adagio sostenuto",Ludwig van Beethoven,0.244,0.0021,1,-41.044,0,0.0417,0.995,0.86,0.161,0.187,64.364,442600,4,1
Overture Candide,Leonard Bernstein,0.298,0.346,3,-15.465,1,0.0416,0.824,0.694,0.295,0.482,78.989,253440,4,1
"Andante festivo for Strings and Timpani, JS 34b",Jean Sibelius,0.113,0.161,7,-20.046,1,0.0442,0.484,0.928,0.16,0.0365,65.062,337840,4,1
"Liebestraum No. 3 in A-Flat Major, S. 541 / 3",Franz Liszt,0.279,0.0292,8,-26.804,1,0.0406,0.987,0.902,0.104,0.0338,136.732,293147,3,1
O Magnum Mysterium: O magnum mysterium,Morten Lauridsen,0.0623,0.0116,2,-27.893,1,0.0567,0.991,0.445,0.0816,0.0331,65.057,415800,3,1
Scheherazade: The Tale of the Kalendar Prince,Nikolai Rimsky-Korsakov,0.151,0.0639,11,-24.404,0,0.0439,0.962,0.603,0.466,0.0797,61.577,200360,3,1
Barber: Adagio for Strings,Samuel Barber,0.102,0.0733,10,-24.133,0,0.0488,0.974,0.859,0.28,0.0308,73.954,537427,3,1
"Goldberg Variations, BWV 988: Variatio 7 a 1 ovvero 2 Clav. Al tempo di Giga",Johann Sebastian Bach,0.31,0.0555,7,-25.695,1,0.0395,0.994,0.906,0.121,0.566,70.515,140040,4,1
Prince Igor (Knyaz Igor): Act II: Polovtsian Dances - Ulyetay na kril'yahk vyetra (Fly away on the wings of the wind) (version for chorus),Alexander Borodin,0.292,0.246,2,-14.96,1,0.0385,0.922,0.525,0.107,0.0859,109.766,642573,4,1
"Requiem in D minor, K.626: 3. Sequentia: Confutatis",Wolfgang Amadeus Mozart,0.128,0.0386,0,-23.759,1,0.0434,0.991,0.94,0.104,0.0359,75.081,147573,4,1
"Prokofiev: Romeo and Juliet, Op. 64, Act 1: No. 13, Dance of the Knights (Complete Ballet)",Sergei Prokofiev,0.209,0.101,0,-19.383,1,0.0403,0.927,0.9,0.0776,0.153,85.851,341693,4,1
"Different Trains: America, Before the War",Steve Reich,0.398,0.373,1,-14.065,1,0.0524,0.889,0.193,0.121,0.61,106.688,538800,4,1
"Violin Sonata in A major, FWV 8: IV. Allegretto poco mosso",César Franck,0.25,0.135,9,-18.615,1,0.0488,0.958,0.0349,0.0477,0.179,94.404,364093,4,1
Adiemus,Karl Jenkins,0.295,0.408,4,-16.632,0,0.0693,0.804,0.148,0.165,0.164,150.454,237413,3,1
Khachaturian: Spartacus Suite No. 2: I. Adagio of Spartacus and Phrygia,Aram Khachaturian,0.165,0.106,8,-21.742,1,0.039,0.807,0.782,0.105,0.0336,105.651,592040,3,1
Spiegel im Spiegel - Version for Violin and Piano,Arvo Pärt,0.176,0.006,5,-42.238,1,0.0384,0.899,3.24E-05,0.105,0.0383,71.477,636000,3,1
"Recomposed By Max Richter: Vivaldi, The Four Seasons: Spring 1",Max Richter,0.701,0.341,1,-12.26,0,0.0418,0.499,0.903,0.359,0.163,105.513,151507,3,1
"Elégie in C Minor, Op. 24 (Arr. Parkin)",Gabriel Fauré,0.115,0.0422,8,-24.137,1,0.0404,0.966,0.919,0.0896,0.037,87.855,455467,3,1
"Sechs Klavierstücke, Op. 118: II. Intermezzo in A Major",Johannes Brahms,0.299,0.00626,9,-30.923,1,0.0478,0.994,0.901,0.0823,0.0634,69.043,378733,4,1
"Ständchen in D Minor (After Schubert), S. 560",Franz Liszt,0.341,0.0142,2,-28.293,1,0.0388,0.993,0.921,0.113,0.0384,76.382,357747,1,1
"Serenade in B-Flat Major, K. 361 ""Gran Partita"": III. Adagio",Wolfgang Amadeus Mozart,0.191,0.0363,3,-25.31,1,0.0409,0.991,0.924,0.141,0.0372,69.754,330293,4,1
Il barbiere di Siviglia: Overture (Sinfonia),Gioachino Rossini,0.322,0.14,4,-20.747,1,0.0489,0.906,0.759,0.125,0.285,92.122,425000,4,1
"Peer Gynt, Op. 23: Act II, 7, In the Hall of the Mountain King",Edvard Grieg,0.436,0.151,11,-20.745,0,0.0603,0.955,0.793,0.11,0.359,103.777,153267,4,1
"Paganini: 24 Caprices, Op. 1: No. 24 in A Minor (Tema con variazioni. Quasi presto)",Niccolò Paganini,0.465,0.128,9,-17.628,0,0.0519,0.978,0.271,0.0423,0.428,111.471,268853,4,1
"Dolly, Op.56: 1. Berceuse",Gabriel Fauré,0.37,0.0076,4,-33.663,1,0.0384,0.995,0.91,0.0864,0.278,62.668,176518,4,1
Theme From Jurassic Park,John Williams,0.144,0.132,10,-19.115,1,0.0333,0.946,0.779,0.115,0.0627,102.283,207427,3,1
"Tsar Saltan, Op. 57: Flight of the Bumblebee",André Previn,0.458,0.11,9,-22.234,0,0.0309,0.977,0.903,0.359,0.481,83.43,84267,4,1
"Symphonic Variations on an African Air, Op.63",Samuel Coleridge-Taylor,0.224,0.0291,7,-26.167,1,0.0455,0.959,0.845,0.106,0.0538,121.131,1215573,4,1
The Rite of Spring: Part One: Adoration of the Earth: Introduction,Igor Stravinsky,0.101,0.0241,11,-30.172,0,0.0485,0.947,0.847,0.0693,0.0329,87.14,208587,3,1
"Symphony No. 3 in C Minor, Op. 78 ""Organ Symphony"": 2b. Maestoso - Più allegro - Molto allegro",Camille Saint-Saëns,0.223,0.227,0,-17.695,1,0.0343,0.871,0.891,0.063,0.127,103.618,469053,4,1
"String Sextet in D Minor, Op. 70, ""Souvenir de Florence"": I. Allegro con spirito",Pyotr Ilyich Tchaikovsky,0.352,0.235,2,-16.235,1,0.0398,0.894,0.675,0.396,0.329,109.16,626240,1,1
"Rêverie, L. 68: Rêverie",Claude Debussy,0.296,0.00896,7,-31.948,0,0.0394,0.994,0.91,0.0815,0.0673,69.44,257000,3,1
Theme From Schindler's List,John Williams,0.142,0.113,2,-25.362,0,0.0415,0.859,0.838,0.107,0.0697,98.575,255693,1,1
"The Four Seasons - Violin Concerto in F Minor, Op. 8 No. 4, RV 297 ""Winter"": I. Allegro non molto",Antonio Vivaldi,0.48,0.163,5,-19.117,0,0.0645,0.81,0.754,0.093,0.212,158.366,204147,4,1
Young Person's Guide To The Orchestra,Benjamin Britten,0.218,0.117,0,-18.585,1,0.0489,0.94,0.861,0.15,0.0599,77.009,1050893,4,1
